,book_id,model_id,team_id,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
0,12,1,mannheimminers,56148,33530,10698,72004,70402
1,45274,1,mannheimminers,7262,15116,6210,65147,32030
2,10104,1,mannheimminers,10143,58103,10317,72922,50866
3,41371,1,mannheimminers,5376,46995,28401,18617,46077
4,14015,1,mannheimminers,20173,59077,13103,40294,54587
5,28515,1,mannheimminers,16509,11589,40011,66471,29700
6,70766,1,mannheimminers,42412,57560,61176,39537,34037
7,1822,1,mannheimminers,55029,29355,1516,48812,2537
8,56794,1,mannheimminers,2121,44420,46738,69830,16099
9,60188,1,mannheimminers,23137,14935,55748,70998,27500
10,62060,1,mannheimminers,39658,67002,28229,34906,67539
11,31401,1,mannheimminers,30627,28820,15749,55787,31719
12,6420,1,mannheimminers,48250,42660,37869,22447,17817
13,72855,1,mannheimminers,62781,11193,6177,52979,16996
14,73378,1,mannheimminers,14700,29605,32216,66162,28017
15,25049,1,mannheimminers,68868,6894,11032,22904,55228
16,24603,1,mannheimminers,39483,32145,76045,64181,8726
17,5737,1,mannheimminers,27599,35293,29098,7479,24175
18,38980,1,mannheimminers,16268,34590,47300,16309,40700
19,13382,1,mannheimminers,,,,,
20,75121,1,mannheimminers,39425,26274,28451,61099,64495
21,39779,1,mannheimminers,51604,16996,6177,11193,52979
22,14026,1,mannheimminers,48357,35673,30971,36285,19430
23,9392,1,mannheimminers,11953,957,11594,71591,26646
24,77956,1,mannheimminers,48325,70706,32762,77738,29378
25,70300,1,mannheimminers,,,,,
26,77134,1,mannheimminers,8101,68886,40741,29977,39848
27,75340,1,mannheimminers,30470,15901,65295,12144,56077
28,51066,1,mannheimminers,13495,59482,11104,10720,5036
29,67776,1,mannheimminers,6740,31002,16996,11193,52979
30,53929,1,mannheimminers,56232,37356,77326,5030,21356
31,22342,1,mannheimminers,32874,50389,10663,2665,40700
32,41116,1,mannheimminers,62743,69571,36664,59712,59924
33,60331,1,mannheimminers,44567,20448,57628,47578,6132
34,65307,1,mannheimminers,20282,51327,8217,65002,11721
35,50039,1,mannheimminers,,,,,
36,42184,1,mannheimminers,17745,12617,32386,43213,57005
37,76163,1,mannheimminers,16142,46681,59121,22802,74913
38,2319,1,mannheimminers,8183,61622,56579,29757,57463
39,62494,1,mannheimminers,5421,27493,40902,28475,62022
40,31015,1,mannheimminers,74006,41125,30386,15493,28563
41,21497,1,mannheimminers,21680,19761,77708,48669,8679
42,53008,1,mannheimminers,59779,63906,46795,66448,26262
43,39308,1,mannheimminers,7780,51509,33619,59774,10158
44,4690,1,mannheimminers,47357,58973,58305,19496,10609
45,19777,1,mannheimminers,54827,27295,69585,46778,29947
46,10078,1,mannheimminers,20749,43513,27943,27301,33392
47,65353,1,mannheimminers,29555,11729,41314,29202,35044
48,58847,1,mannheimminers,35419,17183,72190,43816,26363
49,61593,1,mannheimminers,24271,3071,54210,48948,37506
50,18537,1,mannheimminers,32486,54160,71502,12978,22963
51,73427,1,mannheimminers,65884,41703,65226,6954,60785
52,7521,1,mannheimminers,21716,72684,6326,13901,4351
53,71586,1,mannheimminers,33094,6118,40865,3421,26866
54,13772,1,mannheimminers,58218,49560,23376,63688,43711
55,33092,1,mannheimminers,63952,53575,6295,24851,56217
56,74398,1,mannheimminers,72081,41241,46055,45870,71474
57,74089,1,mannheimminers,7163,38228,12745,20825,38726
58,57282,1,mannheimminers,18498,7612,38231,16439,3343
59,38760,1,mannheimminers,21311,55781,63734,38366,76160
60,15657,1,mannheimminers,26193,53604,28216,18697,10663
61,17665,1,mannheimminers,43222,9214,30546,51168,24107
62,75251,1,mannheimminers,65078,6891,65902,13661,55049
63,56282,1,mannheimminers,22121,54482,27774,25040,70909
64,73973,1,mannheimminers,44814,58982,54684,73102,1572
65,19994,1,mannheimminers,29774,22574,27391,36672,56948
66,47098,1,mannheimminers,42758,73135,34213,37908,30284
67,54190,1,mannheimminers,58952,54518,73868,36596,48356
68,61043,1,mannheimminers,78608,13545,52254,24898,53777
69,78675,1,mannheimminers,49569,10713,22205,27552,17761
70,40394,1,mannheimminers,29184,307,14023,37057,12733
71,43844,1,mannheimminers,6306,28198,36358,76569,56369
72,27300,1,mannheimminers,74992,62241,48707,11280,38613
73,22870,1,mannheimminers,3615,52979,11193,16996,62781
74,61707,1,mannheimminers,16748,38418,20140,30441,76451
75,17888,1,mannheimminers,63525,14389,32201,66871,40243
