recommendation_shown_1,recommendation_shown_0,recommendation_shown_2,alias,model_2_id,book_id,model_0_id,decision,team,time,model_1_id
62101,39220,69193,DP,teamfivemodel,77554,team404_base_model,recommendation_1,MannheimMiners,2021-06-11 11:24:00.379000+00:00,model_2
21221,4277,29383,Jerome,hybrid_learned_weights,46634,third,recommendation_2,team404,2021-06-23 10:45:29.685000+00:00,intra_bpe_hybrid
35604,9603,25802,J,classifier,21281,ensemble,recommendation_1,flying_chicken_wings,2021-06-24 11:45:22.806000+00:00,third
67678,35061,28663,Harith,hybrid_learned_weights,18756,rule_based,recommendation_1,D2G2,2021-06-23 07:54:56.901000+00:00,third
8732,9911,3286,Mimimi,model_2,25488,Hybrid_MeanAllClassifiers,recommendation_1,The Dataworms,2021-06-12 13:04:27.267000+00:00,team404_base_model
20879,19702,39627,Geumbich Hwang,Hybrid_MeanAllClassifiers,39627,content-based_RS,recommendation_1,MannheimMiners,2021-06-16 07:27:36.338000+00:00,team404_base_model
19466,19466,72363,Alina,classifier,56782,hybrid_learned_weights,recommendation_1,MineFromHome,2021-06-22 14:52:50.645000+00:00,third
20477,64908,695,Geumbich Hwang,Hybrid_MeanAllClassifiers,9577,content-based_RS,recommendation_0,MannheimMiners,2021-06-16 07:25:28.142000+00:00,team404_base_model
16750,70889,31340,Daniel,hybrid_learned_weights,23706,classifier,recommendation_1,MineFromHome,2021-06-22 09:02:32.364000+00:00,third
22378,18009,41819,Jakob,teamfivemodel,31827,team404_base_model,recommendation_1,DataMinerz,2021-06-08 09:51:03.521000+00:00,Hybrid_MeanAllClassifiers
17252,58236,17252,Keyvan Amiri Elyasi,first,58236,Hybrid_MeanAllClassifiers,recommendation_2,The Dataworms,2021-06-13 14:07:45.203000+00:00,model_2
14903,23529,18048,seb,Hybrid_MeanAllClassifiers,13970,teamfivemodel,recommendation_2,D2G2,2021-06-10 07:30:03.276000+00:00,first
23430,49953,22959,MR,Hybrid_MeanAllClassifiers,76150,team404_base_model,recommendation_0,Mine From Home,2021-06-14 19:26:32.701000+00:00,lw_bpe_graph
36843,47984,25146,Zhuoyan,first,45732,model_2,recommendation_0,The Dataworms,2021-06-13 09:11:53.610000+00:00,team404_base_model
37772,60398,53376,DP,lw_bpe_graph,12311,teamfivemodel,recommendation_1,MannheimMiners,2021-06-16 16:08:30.954000+00:00,team404_base_model
74006,75981,6906,Jerome,teamfivemodel,31015,Hybrid_MeanAllClassifiers,recommendation_1,team404,2021-06-14 16:17:51.304000+00:00,lw_bpe_graph
47864,60250,17019,Morris,first,38819,Hybrid_MeanAllClassifiers,recommendation_2,MannheimMiners,2021-06-16 09:00:03.685000+00:00,lw_bpe_graph
48644,28306,63080,Niklas,first,8548,Hybrid_MeanAllClassifiers,recommendation_2,DataMinerz,2021-06-08 10:07:13.227000+00:00,team404_base_model
29547,53740,27447,Tim Bleil,model_2,37429,teamfivemodel,recommendation_1,DataMinerz,2021-06-14 12:45:07.085000+00:00,first
61333,70096,25483,Keyvan Amiri Elyasi,Hybrid_MeanAllClassifiers,27403,lw_bpe_graph,recommendation_1,The Dataworms,2021-06-15 12:30:39.688000+00:00,teamfivemodel
39810,62873,77841,Jakob,intra_bpe_hybrid,36620,rule_based,recommendation_1,DataMinerz,2021-06-21 19:44:15.536000+00:00,third
78181,14802,19070,Nazanin,teamfivemodel,78181,content-based_RS,recommendation_0,Dataworms,2021-06-16 16:12:48.174000+00:00,Hybrid_MeanAllClassifiers
61110,55852,41819,bechtify,teamfivemodel,52656,first,recommendation_1,MannheimMiners,2021-06-15 07:13:58.488000+00:00,lw_bpe_graph
16024,61497,56193,seb,Hybrid_RS,59732,hybrid_learned_weights,recommendation_1,D2G2,2021-06-23 08:13:11.914000+00:00,intra_bpe_hybrid
25666,66928,3172,roma,model_2,66928,Hybrid_MeanAllClassifiers,recommendation_1,flying chicken wings,2021-06-13 09:02:56.555000+00:00,team404_base_model
41660,29871,24791,Caioo,third,22963,classifier,recommendation_1,flying_chicken_wings,2021-06-22 13:28:58.704000+00:00,hybrid_learned_weights
76181,58203,77483,Yueli,Hybrid_RS,66928,third,recommendation_1,D2G2,2021-06-22 12:23:44.725000+00:00,classifier
46024,21580,46024,Jakob,rule_based,38760,third,recommendation_1,DataMinerz,2021-06-21 19:49:04.895000+00:00,intra_bpe_hybrid
40943,15015,41593,MR,team404_base_model,66633,first,recommendation_0,Mine From Home,2021-06-14 19:41:23.725000+00:00,teamfivemodel
5827,24690,78082,Jakob,lw_bpe_graph,14318,Hybrid_MeanAllClassifiers,recommendation_2,DataMinerz,2021-06-21 17:16:29.153000+00:00,team404_base_model
12311,57074,53376,LF,model_2,12311,teamfivemodel,recommendation_0,D2G2,2021-06-12 07:28:16.099000+00:00,Hybrid_MeanAllClassifiers
11193,997,15725,Lasse,classifier,62540,Hybrid_RS,recommendation_1,team404,2021-06-22 09:07:49.896000+00:00,intra_bpe_hybrid
69421,30320,42416,RR,third,12077,Hybrid_RS,recommendation_2,flying_chicken_wings,2021-06-24 12:52:22.622000+00:00,intra_bpe_hybrid
39953,6130,69803,Keyvan Amiri Elyasi,teamfivemodel,3268,team404_base_model,recommendation_0,The Dataworms,2021-06-13 14:12:48.453000+00:00,model_2
9118,9118,58243,Daniel,Hybrid_MeanAllClassifiers,3583,teamfivemodel,recommendation_1,MineFromHome,2021-06-15 07:24:58.474000+00:00,lw_bpe_graph
21825,42740,9339,LF,first,27403,teamfivemodel,recommendation_1,D2G2,2021-06-10 21:47:22.679000+00:00,team404_base_model
15527,9454,9626,Moritz H,Hybrid_MeanAllClassifiers,45955,team404_base_model,recommendation_1,the flying chicken wings,2021-06-15 10:10:22.160000+00:00,first
51011,11250,21528,Nazanin,team404_base_model,66633,teamfivemodel,recommendation_1,Dataworms,2021-06-13 08:54:26+00:00,Hybrid_MeanAllClassifiers
59047,38021,21002,gbodnya,model_2,45068,team404_base_model,recommendation_2,flying chicken wings,2021-06-12 21:43:29.416000+00:00,first
52446,34056,24998,roma,team404_base_model,2723,model_2,recommendation_0,flying chicken wings,2021-06-14 09:33:18.753000+00:00,first
29633,59711,18443,Luis,model_2,8384,teamfivemodel,recommendation_0,MannheimMiners,2021-06-16 15:27:22.468000+00:00,content-based_RS
56174,50953,71057,bechtify,team404_base_model,73868,first,recommendation_1,MannheimMiners,2021-06-16 07:13:24.464000+00:00,teamfivemodel
29142,60462,58681,Niklas,model_2,63739,team404_base_model,recommendation_2,DataMinerz,2021-06-09 11:16:03.249000+00:00,Hybrid_MeanAllClassifiers
25926,34489,75326,Lars,first,12725,teamfivemodel,recommendation_2,team404,2021-06-16 09:00:11.636000+00:00,content-based_RS
67601,70403,75668,Jakob,third,56170,intra_bpe_hybrid,recommendation_2,DataMinerz,2021-06-21 19:16:22.432000+00:00,rule_based
74081,70718,70718,Caioo,hybrid_learned_weights,29368,classifier,recommendation_1,flying_chicken_wings,2021-06-22 13:26:40.597000+00:00,third
50163,6646,70221,Simon,team404_base_model,54929,first,recommendation_1,MineFromHome,2021-06-14 18:26:39.773000+00:00,lw_bpe_graph
68614,14908,14908,Keyvan Amiri Elyasi,hybrid_learned_weights,26379,Hybrid_RS,recommendation_2,the dataworms,2021-06-22 08:09:04.100000+00:00,intra_bpe_hybrid
77228,57693,8344,MR,model_2,42715,lw_bpe_graph,recommendation_1,Mine From Home,2021-06-14 19:21:38.684000+00:00,first
70796,10623,20589,Harith,team404_base_model,11265,content-based_RS,recommendation_2,D2G2,2021-06-15 12:45:09.105000+00:00,Hybrid_MeanAllClassifiers
54362,6421,75245,DP,first,3875,Hybrid_MeanAllClassifiers,recommendation_2,MannheimMiners,2021-06-16 15:35:14.364000+00:00,lw_bpe_graph
41636,40630,38044,TimG,Hybrid_RS,55326,hybrid_learned_weights,recommendation_2,DataMinerz,2021-06-24 07:39:12.001000+00:00,classifier
60780,60780,72659,Esther Vogt,team404_base_model,50356,model_2,recommendation_1,DataMinerz,2021-06-14 15:09:23.530000+00:00,first
2491,78353,41884,Sascha,model_2,71805,Hybrid_MeanAllClassifiers,recommendation_0,team404,2021-06-09 14:32:05.252000+00:00,first
46326,1855,40363,Farida,teamfivemodel,64509,first,recommendation_2,DataMinerz,2021-06-14 14:58:31.305000+00:00,model_2
38541,6426,7824,MarBoe,model_2,38197,Hybrid_MeanAllClassifiers,recommendation_0,MannheimMiners,2021-06-11 12:00:37.379000+00:00,team404_base_model
12365,50390,50390,TimG,content-based_RS,40017,teamfivemodel,recommendation_1,DataMinerz,2021-06-16 12:10:34.533000+00:00,team404_base_model
11373,42310,43318,Niklas,team404_base_model,56453,first,recommendation_2,DataMinerz,2021-06-08 12:36:44.483000+00:00,model_2
45599,42531,34616,Jakob,Hybrid_MeanAllClassifiers,14189,first,recommendation_0,DataMinerz,2021-06-08 09:51:53.664000+00:00,team404_base_model
5337,18481,5062,Daniel,third,61475,classifier,recommendation_0,MineFromHome,2021-06-22 09:27:02.164000+00:00,Hybrid_RS
39681,44496,55715,TimG,rule_based,26662,hybrid_learned_weights,recommendation_0,DataMinerz,2021-06-24 07:36:35.311000+00:00,Hybrid_RS
35721,10855,60765,DH,rule_based,22963,intra_bpe_hybrid,recommendation_2,D2G2,2021-06-25 09:36:55.255000+00:00,Hybrid_RS
6888,24663,38423,Rahul,Hybrid_RS,66319,classifier,recommendation_1,D2G2,2021-06-23 11:03:53.033000+00:00,hybrid_learned_weights
38002,59419,11235,Duc,hybrid_learned_weights,67506,rule_based,recommendation_0,DataMinerz,2021-06-25 10:46:51.456000+00:00,third
7920,33078,78884,bbtong,team404_base_model,1640,first,recommendation_1,Mine from Home,2021-06-14 16:55:14.970000+00:00,lw_bpe_graph
63881,36686,30112,Jonathan,team404_base_model,30313,Hybrid_MeanAllClassifiers,recommendation_0,team404,2021-06-10 12:45:07.827000+00:00,teamfivemodel
37498,40692,52294,Caioo,model_2,2399,teamfivemodel,recommendation_2,flying_chicken_wings,2021-06-12 12:52:27.995000+00:00,team404_base_model
50211,54793,71036,gbodnya,teamfivemodel,61339,Hybrid_MeanAllClassifiers,recommendation_1,flying chicken wings,2021-06-13 08:39:39.163000+00:00,model_2
11615,62532,42780,Alicia,lw_bpe_graph,62454,model_2,recommendation_2,Team 404,2021-06-16 17:04:39.161000+00:00,content-based_RS
67497,22925,6506,Duc,first,27237,team404_base_model,recommendation_2,DataMinerz,2021-06-14 14:11:53.766000+00:00,model_2
58370,22104,62701,DH,classifier,54145,intra_bpe_hybrid,recommendation_2,D2G2,2021-06-25 09:39:00.062000+00:00,Hybrid_RS
34623,8029,67653,C,teamfivemodel,31637,content-based_RS,recommendation_0,The Dataworms,2021-06-15 13:23:48.640000+00:00,model_2
76383,1102,76383,MarBoe,model_2,11732,Hybrid_MeanAllClassifiers,recommendation_1,MannheimMiners,2021-06-11 11:44:18.320000+00:00,first
50981,37459,17578,Harith,hybrid_learned_weights,29916,third,recommendation_2,D2G2,2021-06-22 01:09:45.174000+00:00,rule_based
73204,30112,10935,Geumbich Hwang,Hybrid_MeanAllClassifiers,11595,team404_base_model,recommendation_2,MannheimMiners,2021-06-16 07:26:52.736000+00:00,lw_bpe_graph
55049,19685,71057,Zhuoyan,team404_base_model,75251,Hybrid_MeanAllClassifiers,recommendation_1,The Dataworms,2021-06-15 13:15:24.704000+00:00,teamfivemodel
31488,56382,19054,Yueli,teamfivemodel,49803,team404_base_model,recommendation_2,D2G2,2021-06-11 10:13:57.680000+00:00,Hybrid_MeanAllClassifiers
78155,52221,23641,DP,first,58820,lw_bpe_graph,recommendation_2,MannheimMiners,2021-06-16 16:04:28.263000+00:00,team404_base_model
7745,27005,8639,Marvin O.,model_2,51599,Hybrid_MeanAllClassifiers,recommendation_0,MannheimMiners,2021-06-11 19:22:23.354000+00:00,first
17059,34201,22412,Caioo,model_2,2335,Hybrid_MeanAllClassifiers,recommendation_2,flying_chicken_wings,2021-06-15 13:14:38.343000+00:00,lw_bpe_graph
5879,68843,68843,CC,lw_bpe_graph,75904,model_2,recommendation_0,	The Dataworms,2021-06-15 12:48:47.916000+00:00,teamfivemodel
62574,16923,12483,Daniel,hybrid_learned_weights,21737,rule_based,recommendation_2,MineFromHome,2021-06-22 10:01:51.974000+00:00,intra_bpe_hybrid
