,book_id,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5,team_id,model_id
0,12,33530,47083,72004,16316,72766,dataminerz,ensemble
1,45274,1746,32053,7262,65430,65147,dataminerz,ensemble
2,10104,43813,69803,10143,72922,34043,dataminerz,ensemble
3,41371,8189,15312,60507,20699,25637,dataminerz,ensemble
4,14015,35707,59077,10180,38444,48212,dataminerz,ensemble
5,28515,19550,29997,67861,4187,4518,dataminerz,ensemble
6,70766,57560,23135,42412,8922,23151,dataminerz,ensemble
7,1822,29355,54406,43069,48045,78228,dataminerz,ensemble
8,56794,16099,10305,44420,78393,2121,dataminerz,ensemble
9,60188,68441,12052,14935,27187,50485,dataminerz,ensemble
10,62060,67002,62060,28229,33103,34366,dataminerz,ensemble
11,31401,24840,31719,37284,74861,798,dataminerz,ensemble
12,6420,48250,32962,22447,5049,10431,dataminerz,ensemble
13,72855,16686,19526,34395,35389,41198,dataminerz,ensemble
14,73378,29605,32216,66162,14700,10346,dataminerz,ensemble
15,25049,10470,12365,29971,30776,35133,dataminerz,ensemble
16,24603,76655,54569,32145,25215,74047,dataminerz,ensemble
17,5737,45353,74591,24175,29098,27599,dataminerz,ensemble
18,38980,61186,11081,19836,27275,34395,dataminerz,ensemble
19,13382,1965,69023,60014,8193,41883,dataminerz,ensemble
20,75121,28451,5534,39425,61099,64495,dataminerz,ensemble
21,39779,47223,53106,28998,3417,30903,dataminerz,ensemble
22,14026,401,62364,9543,61643,64646,dataminerz,ensemble
23,9392,71666,11953,33814,60305,52910,dataminerz,ensemble
24,77956,32880,70706,17794,48325,28089,dataminerz,ensemble
25,70300,14000,68896,67246,1604,36413,dataminerz,ensemble
26,77134,8101,23029,9891,39848,68886,dataminerz,ensemble
27,75340,23639,1701,12144,30963,74753,dataminerz,ensemble
28,51066,16727,58220,6743,8490,58174,dataminerz,ensemble
29,67776,4640,6740,27069,62751,71710,dataminerz,ensemble
30,53929,77133,25792,57634,68725,67921,dataminerz,ensemble
31,22342,41198,52305,32874,72500,10663,dataminerz,ensemble
32,41116,31143,4863,36538,75595,61671,dataminerz,ensemble
33,60331,27629,57628,66535,14666,47413,dataminerz,ensemble
34,65307,11721,8217,33712,20378,38534,dataminerz,ensemble
35,50039,24036,54037,13777,2885,11695,dataminerz,ensemble
36,42184,43783,26187,32962,72038,52655,dataminerz,ensemble
37,76163,11347,13203,40370,40458,44809,dataminerz,ensemble
38,2319,24572,30151,47805,62342,56579,dataminerz,ensemble
39,62494,61125,65478,21730,31681,27493,dataminerz,ensemble
40,31015,41125,3887,20936,28563,41428,dataminerz,ensemble
41,21497,48669,6011,8679,19761,21497,dataminerz,ensemble
42,53008,19533,48541,67861,36970,59779,dataminerz,ensemble
43,39308,10158,70722,69185,33619,7780,dataminerz,ensemble
44,4690,48449,58973,63042,10609,40479,dataminerz,ensemble
45,19777,46778,50722,56665,2647,16189,dataminerz,ensemble
46,10078,40417,43270,21310,75836,50509,dataminerz,ensemble
47,65353,28776,29555,38542,40250,55389,dataminerz,ensemble
48,58847,28563,30532,33954,45141,63416,dataminerz,ensemble
49,61593,6630,43585,30356,54041,54210,dataminerz,ensemble
50,18537,33948,27523,41358,48374,51846,dataminerz,ensemble
51,73427,65884,57399,65226,71506,60785,dataminerz,ensemble
52,7521,4351,4716,20013,52917,72684,dataminerz,ensemble
53,71586,51114,6118,26866,46763,36988,dataminerz,ensemble
54,13772,55284,23376,63354,21009,25637,dataminerz,ensemble
55,33092,70120,52159,63952,19317,43263,dataminerz,ensemble
56,74398,41241,46055,8326,28062,70119,dataminerz,ensemble
57,74089,3905,7163,38228,77349,70695,dataminerz,ensemble
58,57282,40070,32432,70657,3343,42062,dataminerz,ensemble
59,38760,3299,19669,21580,45820,63734,dataminerz,ensemble
60,15657,35353,6974,28216,30540,44814,dataminerz,ensemble
61,17665,17665,1092,50330,64890,66045,dataminerz,ensemble
62,75251,65078,13661,55049,6507,60158,dataminerz,ensemble
63,56282,22121,25040,13007,27906,57739,dataminerz,ensemble
64,73973,21103,38598,1572,2457,59989,dataminerz,ensemble
65,19994,36948,22574,11526,29774,30105,dataminerz,ensemble
66,47098,15715,47597,54041,68978,34213,dataminerz,ensemble
67,54190,24495,48356,52305,18411,26966,dataminerz,ensemble
68,61043,10470,20400,8326,52254,61178,dataminerz,ensemble
69,78675,22704,22205,63649,4164,10713,dataminerz,ensemble
70,40394,37877,76279,307,43509,14023,dataminerz,ensemble
71,43844,41198,6306,19533,57665,36843,dataminerz,ensemble
72,27300,4373,16328,33348,44827,48593,dataminerz,ensemble
73,22870,39670,3615,15803,39220,62781,dataminerz,ensemble
74,61707,31143,41110,28451,30441,33093,dataminerz,ensemble
75,17888,49969,19632,34037,76521,43813,dataminerz,ensemble
76,48292,35454,42391,69325,48126,10063,dataminerz,ensemble
77,2054,58033,8580,22849,21124,42829,dataminerz,ensemble
78,6643,61661,18155,45513,72149,24777,dataminerz,ensemble
79,3857,24117,12726,59791,61271,28251,dataminerz,ensemble
80,64350,36970,10696,29133,35539,54183,dataminerz,ensemble
81,10833,39810,35470,61031,49521,46301,dataminerz,ensemble
82,33556,31709,23417,19314,71374,73418,dataminerz,ensemble
83,23256,28251,2964,14050,69023,12867,dataminerz,ensemble
84,53880,10488,77425,1904,19862,23645,dataminerz,ensemble
85,75694,14427,32975,61520,33409,20698,dataminerz,ensemble
86,17770,37874,78863,21304,44244,53934,dataminerz,ensemble
87,9365,10470,60882,71996,72038,78109,dataminerz,ensemble
88,11177,33648,4943,10286,20301,24380,dataminerz,ensemble
89,48659,55334,56860,67457,22291,46886,dataminerz,ensemble
90,18169,34921,39242,43318,11364,19023,dataminerz,ensemble
91,48490,34458,21152,7892,27470,28998,dataminerz,ensemble
92,70627,73314,51160,23639,32661,56265,dataminerz,ensemble
93,40000,22707,24774,36757,56453,72804,dataminerz,ensemble
94,18665,42836,46961,51017,54007,71787,dataminerz,ensemble
95,35574,71655,35574,45420,53219,49258,dataminerz,ensemble
96,11732,77349,70695,31630,32661,45700,dataminerz,ensemble
97,6798,30090,76226,33342,16780,6798,dataminerz,ensemble
98,42415,16573,21204,45779,13497,69330,dataminerz,ensemble
99,64236,36970,28288,29339,41198,43382,dataminerz,ensemble
100,60644,20674,41883,61532,69525,77349,dataminerz,ensemble
101,11595,23414,19703,24844,25805,43958,dataminerz,ensemble
