book_id,model_id,team_id,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
12,content-based_RS,the_dataworms,48859,76706,50697,19693,11750
45274,content-based_RS,the_dataworms,1746,63413,5331,71009,7262
10104,content-based_RS,the_dataworms,10143,4357,64440,48653,20462
41371,content-based_RS,the_dataworms,50769,61233,48670,43438,69662
14015,content-based_RS,the_dataworms,13103,59077,20173,47952,19563
28515,content-based_RS,the_dataworms,62153,48349,52629,74653,61289
70766,content-based_RS,the_dataworms,44234,36990,29712,77663,42529
1822,content-based_RS,the_dataworms,29355,55029,43069,23313,4681
56794,content-based_RS,the_dataworms,44420,22549,2121,772,39604
60188,content-based_RS,the_dataworms,23137,14935,11573,50485,27187
62060,content-based_RS,the_dataworms,28229,67539,71213,48680,34366
31401,content-based_RS,the_dataworms,37284,25708,59496,2520,72688
6420,content-based_RS,the_dataworms,28478,74665,14289,5049,39374
72855,content-based_RS,the_dataworms,62513,72507,56885,50680,52520
73378,content-based_RS,the_dataworms,29605,14700,32216,57112,64644
25049,content-based_RS,the_dataworms,42742,68951,66136,65621,17743
24603,content-based_RS,the_dataworms,54569,32145,74047,61367,26129
5737,content-based_RS,the_dataworms,27599,32657,10965,76996,15857
38980,content-based_RS,the_dataworms,11081,61694,36128,19342,18689
13382,content-based_RS,the_dataworms,4787,46822,40521,20674,69525
75121,content-based_RS,the_dataworms,39425,28451,26274,61099,64495
39779,content-based_RS,the_dataworms,47123,7043,26192,30555,66729
14026,content-based_RS,the_dataworms,401,58415,14320,71378,65212
9392,content-based_RS,the_dataworms,11953,28920,74100,336,41860
77956,content-based_RS,the_dataworms,48325,70706,32762,28089,14117
70300,content-based_RS,the_dataworms,437,45054,16147,69554,41523
77134,content-based_RS,the_dataworms,8101,40741,68886,23029,10011
75340,content-based_RS,the_dataworms,20237,30963,28210,74753,9345
51066,content-based_RS,the_dataworms,66399,8161,23847,21312,16727
67776,content-based_RS,the_dataworms,6740,40687,44533,62751,79053
53929,content-based_RS,the_dataworms,21356,8917,34805,37984,7361
22342,content-based_RS,the_dataworms,36804,72500,29416,61964,64430
41116,content-based_RS,the_dataworms,4863,75595,73806,54924,63905
60331,content-based_RS,the_dataworms,30400,27407,1928,27629,28282
65307,content-based_RS,the_dataworms,35182,35444,11721,20378,44014
50039,content-based_RS,the_dataworms,20981,30908,1373,20360,62572
42184,content-based_RS,the_dataworms,22860,17745,57005,32386,64499
76163,content-based_RS,the_dataworms,16142,11342,57311,74913,56427
2319,content-based_RS,the_dataworms,61622,8183,56579,23440,24388
62494,content-based_RS,the_dataworms,59377,38779,23080,39144,31927
