itemID,predictions
12,"['48859', '76706', '50697', '19693', '11750']"
45274,"['1746', '63413', '5331', '71009', '7262']"
10104,"['10143', '4357', '64440', '48653', '20462']"
41371,"['50769', '61233', '48670', '43438', '69662']"
14015,"['13103', '59077', '20173', '47952', '19563']"
28515,"['62153', '48349', '52629', '74653', '61289']"
70766,"['44234', '36990', '29712', '77663', '42529']"
1822,"['29355', '55029', '43069', '23313', '4681']"
56794,"['44420', '22549', '2121', '772', '39604']"
60188,"['23137', '14935', '11573', '50485', '27187']"
62060,"['28229', '67539', '71213', '48680', '34366']"
31401,"['37284', '25708', '59496', '2520', '72688']"
6420,"['28478', '74665', '14289', '5049', '39374']"
72855,"['62513', '72507', '56885', '50680', '52520']"
73378,"['29605', '14700', '32216', '57112', '64644']"
25049,"['42742', '68951', '66136', '65621', '17743']"
24603,"['54569', '32145', '74047', '61367', '26129']"
5737,"['27599', '32657', '10965', '76996', '15857']"
38980,"['11081', '61694', '36128', '19342', '18689']"
13382,"['4787', '46822', '40521', '20674', '69525']"
75121,"['39425', '28451', '26274', '61099', '64495']"
39779,"['47123', '7043', '26192', '30555', '66729']"
14026,"['401', '58415', '14320', '71378', '65212']"
9392,"['11953', '28920', '74100', '336', '41860']"
77956,"['48325', '70706', '32762', '28089', '14117']"
70300,"['437', '45054', '16147', '69554', '41523']"
77134,"['8101', '40741', '68886', '23029', '10011']"
75340,"['20237', '30963', '28210', '74753', '9345']"
51066,"['66399', '8161', '23847', '21312', '16727']"
67776,"['6740', '40687', '44533', '62751', '79053']"
53929,"['21356', '8917', '34805', '37984', '7361']"
22342,"['36804', '72500', '29416', '61964', '64430']"
41116,"['4863', '75595', '73806', '54924', '63905']"
60331,"['30400', '27407', '1928', '27629', '28282']"
65307,"['35182', '35444', '11721', '20378', '44014']"
50039,"['20981', '30908', '1373', '20360', '62572']"
42184,"['22860', '17745', '57005', '32386', '64499']"
76163,"['16142', '11342', '57311', '74913', '56427']"
2319,"['61622', '8183', '56579', '23440', '24388']"
62494,"['59377', '38779', '23080', '39144', '31927']"
31015,"['74006', '29660', '70310', '48841', '60179']"
21497,"['48669', '19761', '21680', '77708', '55206']"
53008,"['59779', '32267', '44464', '67796', '67683']"
39308,"['36430', '70722', '33619', '51509', '41578']"
4690,"['41996', '24792', '26843', '53776', '1884']"
19777,"['27295', '54827', '56665', '12683', '44804']"
10078,"['43270', '50322', '65611', '2563', '44623']"
65353,"['29555', '76350', '45588', '73196', '7420']"
58847,"['36158', '35419', '1266', '28563', '75796']"
61593,"['6630', '31265', '44954', '72244', '62857']"
18537,"['61996', '31037', '38042', '68501', '72950']"
73427,"['68083', '78319', '57399', '6954', '65884']"
7521,"['61355', '11734', '20640', '52917', '34393']"
71586,"['33094', '6118', '40865', '3421', '36896']"
13772,"['55284', '37152', '55832', '75921', '52799']"
33092,"['63952', '22274', '52159', '50147', '22740']"
74398,"['72081', '69540', '41241', '45870', '75305']"
74089,"['7163', '78327', '65796', '51771', '43858']"
57282,"['18498', '20679', '30263', '1490', '3402']"
38760,"['63523', '54324', '2657', '63270', '23597']"
15657,"['39018', '9256', '78476', '60730', '60560']"
17665,"['60453', '36160', '54881', '58765', '66045']"
75251,"['34597', '65078', '42394', '22714', '10372']"
56282,"['22121', '25040', '70909', '13007', '61684']"
73973,"['59989', '3853', '67097', '56279', '45021']"
19994,"['8840', '29774', '68982', '11526', '42875']"
47098,"['34213', '60481', '15715', '37908', '39278']"
54190,"['18411', '41247', '5490', '54969', '59179']"
61043,"['53272', '7154', '59137', '10774', '32258']"
78675,"['33512', '10713', '4164', '63649', '28232']"
40394,"['29184', '22671', '43611', '37057', '307']"
43844,"['76137', '52449', '1554', '19830', '54098']"
27300,"['77100', '56681', '8444', '6830', '32551']"
22870,"['64640', '43238', '51592', '60443', '39670']"
61707,"['54585', '32437', '65528', '78247', '20305']"
17888,"['22589', '27906', '1728', '6476', '16125']"
