book_id,model_id,team_id,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
12,Hybrid_RS,the_dataworms,38044,15978,18081,37565,27058
45274,Hybrid_RS,the_dataworms,1746,63413,7262,6210,62473
10104,Hybrid_RS,the_dataworms,10143,41762,71798,20416,40979
41371,Hybrid_RS,the_dataworms,70558,64698,64050,72736,58150
14015,Hybrid_RS,the_dataworms,13103,47952,19563,66672,21188
28515,Hybrid_RS,the_dataworms,18081,38044,68207,37565,15978
70766,Hybrid_RS,the_dataworms,44234,11688,75351,36261,71090
1822,Hybrid_RS,the_dataworms,29355,55029,43069,37723,22581
56794,Hybrid_RS,the_dataworms,44420,22549,2121,772,39604
60188,Hybrid_RS,the_dataworms,23137,14935,59059,8758,12237
62060,Hybrid_RS,the_dataworms,28229,67539,71213,67002,39658
31401,Hybrid_RS,the_dataworms,18113,68522,20512,49159,46099
6420,Hybrid_RS,the_dataworms,33239,43857,70717,41711,56734
72855,Hybrid_RS,the_dataworms,52520,72507,56885,50680,62513
73378,Hybrid_RS,the_dataworms,29605,14700,32216,66162,28017
25049,Hybrid_RS,the_dataworms,59485,71491,71218,61142,15474
24603,Hybrid_RS,the_dataworms,54569,32145,74047,61367,26129
5737,Hybrid_RS,the_dataworms,27599,32657,10965,76996,15857
38980,Hybrid_RS,the_dataworms,53550,39603,8,48385,49126
13382,Hybrid_RS,the_dataworms,4787,46822,40521,20674,69525
75121,Hybrid_RS,the_dataworms,39425,28451,26274,61099,64495
39779,Hybrid_RS,the_dataworms,74274,4013,13500,32809,58432
14026,Hybrid_RS,the_dataworms,401,42091,10785,21556,9989
9392,Hybrid_RS,the_dataworms,11953,68689,32868,60305,4155
77956,Hybrid_RS,the_dataworms,48325,70706,32762,14117,32880
70300,Hybrid_RS,the_dataworms,437,45054,16147,69554,57100
77134,Hybrid_RS,the_dataworms,8101,68886,40741,23029,10011
75340,Hybrid_RS,the_dataworms,42402,25976,27438,45146,19849
51066,Hybrid_RS,the_dataworms,66399,8161,23847,72568,16727
67776,Hybrid_RS,the_dataworms,6740,23498,62821,49987,63304
53929,Hybrid_RS,the_dataworms,21356,34805,8917,21733,56013
22342,Hybrid_RS,the_dataworms,36804,75351,23101,35018,59682
41116,Hybrid_RS,the_dataworms,61671,33570,1955,72065,18529
60331,Hybrid_RS,the_dataworms,15717,4414,78572,54674,52614
65307,Hybrid_RS,the_dataworms,35182,35444,11721,20378,44014
50039,Hybrid_RS,the_dataworms,24755,7696,66371,40585,47345
42184,Hybrid_RS,the_dataworms,22860,17745,57005,32386,4776
76163,Hybrid_RS,the_dataworms,16142,11342,57311,74913,56427
2319,Hybrid_RS,the_dataworms,61622,8183,56579,23440,73584
62494,Hybrid_RS,the_dataworms,27493,62022,67575,50728,49438
31015,Hybrid_RS,the_dataworms,74006,16841,26466,52863,18427
21497,Hybrid_RS,the_dataworms,48669,19761,21680,77708,55206
53008,Hybrid_RS,the_dataworms,59779,67796,37367,49654,78728
39308,Hybrid_RS,the_dataworms,36430,70722,33619,51509,18908
4690,Hybrid_RS,the_dataworms,75876,58519,78556,29134,16971
19777,Hybrid_RS,the_dataworms,27295,74923,31626,54827,26475
10078,Hybrid_RS,the_dataworms,43270,9066,28097,25543,47655
65353,Hybrid_RS,the_dataworms,29555,76350,51811,16278,49678
58847,Hybrid_RS,the_dataworms,35419,28563,22581,37723,28239
61593,Hybrid_RS,the_dataworms,6630,49987,62821,23498,60956
18537,Hybrid_RS,the_dataworms,28267,64759,56792,28695,40906
73427,Hybrid_RS,the_dataworms,68083,78319,57399,6954,65884
7521,Hybrid_RS,the_dataworms,7272,34177,36549,62983,26549
71586,Hybrid_RS,the_dataworms,33094,6118,40865,3421,47621
13772,Hybrid_RS,the_dataworms,52799,13720,65247,10135,61391
33092,Hybrid_RS,the_dataworms,63952,22740,31348,22274,52159
74398,Hybrid_RS,the_dataworms,15606,29064,69540,72081,75305
74089,Hybrid_RS,the_dataworms,7163,8289,61431,47881,26957
57282,Hybrid_RS,the_dataworms,18498,73539,73461,78827,13337
38760,Hybrid_RS,the_dataworms,52620,847,19669,17589,61966
15657,Hybrid_RS,the_dataworms,10294,78423,9256,73878,67569
17665,Hybrid_RS,the_dataworms,9282,64890,37374,77471,47678
75251,Hybrid_RS,the_dataworms,34597,65078,42394,22714,10372
56282,Hybrid_RS,the_dataworms,22121,25040,70909,13007,61684
73973,Hybrid_RS,the_dataworms,22780,13500,45146,34667,65266
19994,Hybrid_RS,the_dataworms,8840,29774,49168,71614,26120
47098,Hybrid_RS,the_dataworms,34213,60481,15715,37908,44842
54190,Hybrid_RS,the_dataworms,18411,41247,5490,54969,59179
61043,Hybrid_RS,the_dataworms,44069,53710,38451,63431,47920
78675,Hybrid_RS,the_dataworms,33512,10713,28239,68991,27148
40394,Hybrid_RS,the_dataworms,8149,471,307,45394,35847
43844,Hybrid_RS,the_dataworms,76137,37565,6306,68207,18081
27300,Hybrid_RS,the_dataworms,15188,62367,38290,10070,76399
22870,Hybrid_RS,the_dataworms,64640,43238,39670,1547,3615
61707,Hybrid_RS,the_dataworms,44115,49275,48519,56184,15204
17888,Hybrid_RS,the_dataworms,7983,51862,7850,38423,22581
48292,Hybrid_RS,the_dataworms,75548,34959,47376,18766,9011
2054,Hybrid_RS,the_dataworms,23518,57722,39874,7359,36787
6643,Hybrid_RS,the_dataworms,24777,17547,61661,10300,2126
3857,Hybrid_RS,the_dataworms,12726,45436,8221,75681,56143
64350,Hybrid_RS,the_dataworms,78728,29719,37367,34996,49654
10833,Hybrid_RS,the_dataworms,49521,29798,78361,37323,38044
33556,Hybrid_RS,the_dataworms,31709,71374,73418,23417,49654
23256,Hybrid_RS,the_dataworms,87,14050,31874,2964,25780
53880,Hybrid_RS,the_dataworms,7548,1904,32061,56719,61159
75694,Hybrid_RS,the_dataworms,14427,61520,5131,33409,73056
17770,Hybrid_RS,the_dataworms,55507,53934,21304,37874,68572
9365,Hybrid_RS,the_dataworms,56869,60882,62549,41163,4155
11177,Hybrid_RS,the_dataworms,68293,58177,51862,21237,26272
48659,Hybrid_RS,the_dataworms,27477,73672,22291,46886,73563
18169,Hybrid_RS,the_dataworms,20691,38913,55524,61166,21320
48490,Hybrid_RS,the_dataworms,52670,44757,23189,32794,58099
70627,Hybrid_RS,the_dataworms,56265,73314,51160,54323,64088
40000,Hybrid_RS,the_dataworms,1113,69163,17937,26914,26773
18665,Hybrid_RS,the_dataworms,52938,1265,65637,75094,71787
35574,Hybrid_RS,the_dataworms,77348,26272,21237,58177,18999
11732,Hybrid_RS,the_dataworms,1530,76383,47456,43021,61633
6798,Hybrid_RS,the_dataworms,33342,33862,30090,25674,76226
42415,Hybrid_RS,the_dataworms,13497,16573,69330,10295,66855
64236,Hybrid_RS,the_dataworms,37565,68207,18081,16841,52863
60644,Hybrid_RS,the_dataworms,46822,4787,40521,20674,69525
11595,Hybrid_RS,the_dataworms,32858,44047,62260,58890,24894
39957,Hybrid_RS,the_dataworms,63989,64493,27676,58306,33861
1519,Hybrid_RS,the_dataworms,61342,12893,64088,27438,57069
10075,Hybrid_RS,the_dataworms,30879,48846,5717,22776,66724
25209,Hybrid_RS,the_dataworms,35442,19744,43957,30482,11240
7108,Hybrid_RS,the_dataworms,25780,44069,6348,44025,77296
67848,Hybrid_RS,the_dataworms,21472,22581,32940,43879,44032
40424,Hybrid_RS,the_dataworms,54543,33014,27981,1555,59553
72523,Hybrid_RS,the_dataworms,63304,75876,19277,55206,78556
60588,Hybrid_RS,the_dataworms,19399,44509,32391,22581,61431
21315,Hybrid_RS,the_dataworms,58177,21237,26336,68924,26272
50356,Hybrid_RS,the_dataworms,39253,60780,64507,9795,30237
75904,Hybrid_RS,the_dataworms,68843,12143,34312,27438,68991
17240,Hybrid_RS,the_dataworms,2968,52116,24720,15978,38084
24218,Hybrid_RS,the_dataworms,38305,44115,49275,56184,19849
21949,Hybrid_RS,the_dataworms,56184,52764,28090,40258,71418
6478,Hybrid_RS,the_dataworms,28026,55616,45933,75128,59589
76242,Hybrid_RS,the_dataworms,7713,7121,63094,32431,23203
71112,Hybrid_RS,the_dataworms,30830,7850,43879,14419,32940
76437,Hybrid_RS,the_dataworms,75351,59345,765,7413,17328
52656,Hybrid_RS,the_dataworms,23640,49252,10846,73090,63098
10304,Hybrid_RS,the_dataworms,11688,27899,46457,47456,7413
25399,Hybrid_RS,the_dataworms,49165,38709,1228,37773,505
71619,Hybrid_RS,the_dataworms,2094,70228,19118,40783,8479
31439,Hybrid_RS,the_dataworms,26728,26483,15970,72379,72875
14323,Hybrid_RS,the_dataworms,45820,5087,19669,21580,44362
10842,Hybrid_RS,the_dataworms,67833,65026,6621,41103,21567
39515,Hybrid_RS,the_dataworms,9419,1966,48838,28653,625
59732,Hybrid_RS,the_dataworms,56193,16024,21668,53801,12602
56452,Hybrid_RS,the_dataworms,35069,50058,46124,27451,51819
53496,Hybrid_RS,the_dataworms,10972,53365,11688,41804,53529
27903,Hybrid_RS,the_dataworms,11330,38995,31123,68007,14080
53672,Hybrid_RS,the_dataworms,31227,8706,72461,60509,66121
29813,Hybrid_RS,the_dataworms,75351,59345,23101,765,7413
67909,Hybrid_RS,the_dataworms,22621,10550,40795,36560,18007
36620,Hybrid_RS,the_dataworms,19382,75876,63304,58519,78556
44197,Hybrid_RS,the_dataworms,61456,28680,13725,69930,35248
68772,Hybrid_RS,the_dataworms,8180,54858,499,21732,15970
72058,Hybrid_RS,the_dataworms,78865,5519,40255,40535,54246
17921,Hybrid_RS,the_dataworms,2982,75321,143,765,24998
67832,Hybrid_RS,the_dataworms,33157,18146,52620,847,8459
73203,Hybrid_RS,the_dataworms,73222,11421,52531,44032,39374
30873,Hybrid_RS,the_dataworms,6557,18286,50744,33404,70528
46059,Hybrid_RS,the_dataworms,56059,77948,57117,16119,75876
49615,Hybrid_RS,the_dataworms,77442,63647,35311,13964,19822
76629,Hybrid_RS,the_dataworms,47312,42254,22581,23640,39374
55488,Hybrid_RS,the_dataworms,61837,4686,53582,53086,29054
30713,Hybrid_RS,the_dataworms,143,78405,71257,38435,15278
3527,Hybrid_RS,the_dataworms,77268,41927,68326,68098,22192
52884,Hybrid_RS,the_dataworms,36866,9166,56331,64880,59878
48270,Hybrid_RS,the_dataworms,19628,17583,24384,16761,65004
18224,Hybrid_RS,the_dataworms,6651,20973,26479,32664,11115
39309,Hybrid_RS,the_dataworms,1424,74173,7756,20302,51675
11265,Hybrid_RS,the_dataworms,12140,23526,29513,77342,10623
8288,Hybrid_RS,the_dataworms,50154,49713,27413,553,31977
40312,Hybrid_RS,the_dataworms,24755,17091,7696,69113,26464
35418,Hybrid_RS,the_dataworms,38044,12595,77576,64871,50509
78181,Hybrid_RS,the_dataworms,17562,53174,33303,62821,49987
8859,Hybrid_RS,the_dataworms,31427,62459,52321,51523,66582
3875,Hybrid_RS,the_dataworms,65369,71454,57366,5993,885
17348,Hybrid_RS,the_dataworms,41811,48763,60602,78556,44916
37321,Hybrid_RS,the_dataworms,29303,70349,12388,45300,64679
22277,Hybrid_RS,the_dataworms,38971,29480,36670,14684,78556
52705,Hybrid_RS,the_dataworms,7850,21472,32940,14877,30830
26856,Hybrid_RS,the_dataworms,47881,14877,17444,22581,44069
36095,Hybrid_RS,the_dataworms,54550,48418,53846,25513,46674
66497,Hybrid_RS,the_dataworms,14617,61673,49887,45614,40258
55326,Hybrid_RS,the_dataworms,38044,18081,15978,37565,68207
3959,Hybrid_RS,the_dataworms,4836,65301,46086,68263,22527
66928,Hybrid_RS,the_dataworms,50451,77483,49188,3172,46164
23159,Hybrid_RS,the_dataworms,46377,65708,69228,21183,75884
76762,Hybrid_RS,the_dataworms,66650,12978,61178,64261,14024
73748,Hybrid_RS,the_dataworms,64606,6271,41356,39713,70915
8248,Hybrid_RS,the_dataworms,10880,47236,23588,19463,52418
39766,Hybrid_RS,the_dataworms,28771,20395,41157,13323,40159
49234,Hybrid_RS,the_dataworms,28502,54692,29736,77474,6848
23366,Hybrid_RS,the_dataworms,9933,72508,70026,26120,19849
59734,Hybrid_RS,the_dataworms,22603,52569,49252,23640,17444
41020,Hybrid_RS,the_dataworms,59441,13939,7715,22356,55069
74389,Hybrid_RS,the_dataworms,78983,50706,39299,50447,43782
8538,Hybrid_RS,the_dataworms,12997,60657,847,52620,61252
40113,Hybrid_RS,the_dataworms,78512,61589,43471,3266,61952
32980,Hybrid_RS,the_dataworms,4013,22780,13500,60778,34667
47068,Hybrid_RS,the_dataworms,44025,66724,77296,53094,32940
20083,Hybrid_RS,the_dataworms,41369,15227,39296,20287,10456
31728,Hybrid_RS,the_dataworms,76427,53801,43021,47457,47328
52192,Hybrid_RS,the_dataworms,56184,48519,59865,44830,494
62732,Hybrid_RS,the_dataworms,56972,20455,25693,70909,16190
30746,Hybrid_RS,the_dataworms,28851,34655,69794,27786,65937
22622,Hybrid_RS,the_dataworms,177,10841,6444,25976,72508
54612,Hybrid_RS,the_dataworms,35508,77855,41056,35035,67027
59032,Hybrid_RS,the_dataworms,13647,59614,41847,74310,3943
26385,Hybrid_RS,the_dataworms,52620,847,54696,327,19569
65461,Hybrid_RS,the_dataworms,74747,371,1232,11688,46457
