book_id,model_id,team_id,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
12,lw_bpe_graph,d2g2,63565,9162,72163,47083,43601
259,lw_bpe_graph,d2g2,67728,69270,53361,46609,73028
337,lw_bpe_graph,d2g2,13561,36640,69396,51960,67698
457,lw_bpe_graph,d2g2,78649,76620,17869,22286,71622
468,lw_bpe_graph,d2g2,5699,6732,53333,2465,22520
636,lw_bpe_graph,d2g2,36546,78327,42631,21226,49247
663,lw_bpe_graph,d2g2,48017,67374,24713,64185,52869
687,lw_bpe_graph,d2g2,17077,18921,5027,8922,18421
726,lw_bpe_graph,d2g2,23456,45834,17544,62110,50897
817,lw_bpe_graph,d2g2,9550,62653,15572,44917,39031
851,lw_bpe_graph,d2g2,72857,74064,56676,63068,71544
1071,lw_bpe_graph,d2g2,53832,53451,59066,19129,30221
1103,lw_bpe_graph,d2g2,49935,70293,66879,66129,747
1168,lw_bpe_graph,d2g2,39029,17176,54478,35280,26028
1177,lw_bpe_graph,d2g2,37646,27414,10722,16845,40078
1235,lw_bpe_graph,d2g2,56194,19433,5422,3135,63436
1399,lw_bpe_graph,d2g2,35021,47737,72821,32870,25180
1460,lw_bpe_graph,d2g2,54460,66406,14289,42130,2430
1486,lw_bpe_graph,d2g2,33672,71211,30693,42695,3800
1519,lw_bpe_graph,d2g2,757,46130,27722,69301,324
1640,lw_bpe_graph,d2g2,77417,30576,66329,7920,41158
1680,lw_bpe_graph,d2g2,10812,26843,52090,37598,76099
1777,lw_bpe_graph,d2g2,78179,29097,42858,77710,51899
1822,lw_bpe_graph,d2g2,43069,29355,55029,19422,8427
1954,lw_bpe_graph,d2g2,46650,24750,29218,25683,22505
2054,lw_bpe_graph,d2g2,65478,65225,1511,70804,31681
2074,lw_bpe_graph,d2g2,38501,34771,8486,32039,24116
2142,lw_bpe_graph,d2g2,59284,64883,25637,12337,13381
2244,lw_bpe_graph,d2g2,37718,18939,23625,43930,53974
2257,lw_bpe_graph,d2g2,53891,24406,22685,69229,50867
2319,lw_bpe_graph,d2g2,61622,8183,56579,19484,56173
2335,lw_bpe_graph,d2g2,32043,11566,43776,28088,17059
