,book_id,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5,team_id,model_id
0,12,42308,77904,37914,27716,53802,dataminerz,rule_based_v2
1,45274,63413,3054,31086,41144,9285,dataminerz,rule_based_v2
2,10104,10143,32833,35632,37075,10317,dataminerz,rule_based_v2
3,14015,59077,21070,33138,20173,36546,dataminerz,rule_based_v2
4,28515,50312,40942,17416,49301,15079,dataminerz,rule_based_v2
5,1822,5118,45798,51821,1586,58482,dataminerz,rule_based_v2
6,60188,23137,14935,70998,13018,12303,dataminerz,rule_based_v2
7,31401,48994,23836,66960,60501,14170,dataminerz,rule_based_v2
8,6420,65574,16617,75286,27589,30739,dataminerz,rule_based_v2
9,72855,58243,63853,25468,16182,57931,dataminerz,rule_based_v2
10,73378,14700,29605,32216,50477,59277,dataminerz,rule_based_v2
11,24603,32145,65061,64181,77891,54569,dataminerz,rule_based_v2
12,5737,45353,27599,76996,20686,35293,dataminerz,rule_based_v2
13,39779,29948,12790,63650,60004,40206,dataminerz,rule_based_v2
14,14026,13955,53548,65054,3890,71671,dataminerz,rule_based_v2
15,9392,11953,51279,45663,68600,6560,dataminerz,rule_based_v2
16,77134,8101,21566,29977,9506,33988,dataminerz,rule_based_v2
17,75340,40248,5179,74259,65401,41418,dataminerz,rule_based_v2
18,65307,32023,9598,65002,77509,40705,dataminerz,rule_based_v2
19,50039,13777,24036,50735,2885,54037,dataminerz,rule_based_v2
20,76163,16142,34524,74913,53389,40964,dataminerz,rule_based_v2
21,31015,54254,1518,41507,52411,17280,dataminerz,rule_based_v2
22,19777,69585,46778,71522,29947,9652,dataminerz,rule_based_v2
23,58847,2240,59102,27620,66358,22766,dataminerz,rule_based_v2
24,71586,33094,40865,3421,6118,67910,dataminerz,rule_based_v2
25,33092,63952,46004,29928,39192,51574,dataminerz,rule_based_v2
26,74089,11312,9082,18748,73097,25928,dataminerz,rule_based_v2
27,57282,40070,18498,69520,8714,65114,dataminerz,rule_based_v2
28,75251,29905,16698,1031,27822,78283,dataminerz,rule_based_v2
29,73973,59989,3853,52801,70226,65304,dataminerz,rule_based_v2
30,19994,14903,55921,8630,64137,78931,dataminerz,rule_based_v2
31,47098,4528,33017,34213,42758,37908,dataminerz,rule_based_v2
32,61043,30601,25556,15132,77978,32865,dataminerz,rule_based_v2
33,78675,33512,47360,48989,55311,27586,dataminerz,rule_based_v2
34,43844,74206,14032,33185,25717,26578,dataminerz,rule_based_v2
35,22870,59834,36490,28921,343,29298,dataminerz,rule_based_v2
36,61707,69112,21047,33728,61191,33093,dataminerz,rule_based_v2
37,17888,76310,71571,40222,16125,67350,dataminerz,rule_based_v2
38,48292,43558,22584,62654,15996,6388,dataminerz,rule_based_v2
39,6643,71832,33602,15131,7623,52163,dataminerz,rule_based_v2
40,10833,49515,45420,37323,49521,77853,dataminerz,rule_based_v2
41,23256,87,49621,77645,49673,13327,dataminerz,rule_based_v2
42,17770,26214,16427,68285,65508,27469,dataminerz,rule_based_v2
43,9365,60882,56869,38064,56388,64007,dataminerz,rule_based_v2
44,11177,76897,14558,500,4704,16026,dataminerz,rule_based_v2
45,18169,55524,8239,1148,23884,35284,dataminerz,rule_based_v2
46,48490,334,662,38294,14950,29659,dataminerz,rule_based_v2
47,70627,24521,59190,27489,70421,75463,dataminerz,rule_based_v2
48,40000,1113,67170,57747,36757,65452,dataminerz,rule_based_v2
49,35574,77348,71655,43131,33548,63219,dataminerz,rule_based_v2
50,42415,1687,23592,63418,4332,17462,dataminerz,rule_based_v2
51,64236,68287,69225,74189,1516,32004,dataminerz,rule_based_v2
52,11595,32763,57333,34261,73215,75636,dataminerz,rule_based_v2
53,1519,62480,62866,53177,59109,23232,dataminerz,rule_based_v2
54,10075,50654,64286,4280,58675,73621,dataminerz,rule_based_v2
55,25209,59808,38371,20036,34138,73134,dataminerz,rule_based_v2
56,7108,77401,33462,28385,15348,12274,dataminerz,rule_based_v2
57,67848,32547,22044,43046,30389,50583,dataminerz,rule_based_v2
58,40424,54543,11523,33905,48158,6298,dataminerz,rule_based_v2
59,60588,19399,34944,24247,39662,57451,dataminerz,rule_based_v2
60,21315,7648,26574,7423,48861,77181,dataminerz,rule_based_v2
61,75904,12143,74459,68732,75085,56409,dataminerz,rule_based_v2
62,17240,21058,72107,40399,34064,15242,dataminerz,rule_based_v2
