Notation;Category heading
A;The Arts
C;Language and Linguistics
D;Biography, Literature and Literary studies
F;Fiction and Related items
G;Reference, Information and Interdisciplinary subjects
J;Society and Social Sciences
K;Economics, Finance, Business and Management
L;Law
M;Medicine and Nursing
N;History and Archaeology
P;Mathematics and Science
Q;Philosophy and Religion
R;Earth Sciences, Geography, Environment, Planning
S;Sports and Active outdoor recreation
T;Technology, Engineering, Agriculture, Industrial processes
U;Computing and Information Technology
V;Health, Relationships and Personal development
W;Lifestyle, Hobbies and Leisure
X;Graphic novels, Comic books, Cartoons
Y;Children’s, Teenage and Educational
1;Place qualifiers
2;Language qualifiers
3;Time period qualifiers
4;Educational purpose qualifiers
5;Interest qualifiers
6;Style qualifiers
